,HighBP,HighChol,CholCheck,BMI,Smoker,Stroke,HeartDiseaseorAttack,PhysActivity,Fruits,Veggies,HvyAlcoholConsump,AnyHealthcare,NoDocbcCost,GenHlth,MentHlth,PhysHlth,DiffWalk,Sex,Age,Education,Income
HvyAlcoholConsump,-0.003971573995750689,-0.011542518585169049,-0.02373009065481386,-0.052448493220881916,0.10161868704672539,-0.016950330306947075,-0.028990515666571022,0.012392236192433976,-0.03528773290611688,0.021064481082578662,1.0,-0.010488085408327479,0.004683595414017497,-0.03522637146668939,0.03274230267700544,-0.024762664844724037,-0.03766817420960945,0.005740219246767308,-0.035129930212368946,0.021252256819077768,0.05534222527339353
AnyHealthcare,0.038424768934771536,0.042229862220892464,0.11762562458953439,-0.013760533396137392,-0.02325080318794782,0.008775925446428953,0.01873418626226445,0.035504736513472,0.03154391879221864,0.029583816893788365,-0.010488085408327479,1.0,-0.23253210486195552,-0.04162231152892427,-0.047646264525339176,-0.008407859177375774,0.007074091815080869,-0.01940546470326061,0.14024279346418445,0.11485309816249378,0.15504182169285174
NoDocbcCost,0.017357983577041578,0.013310163214191014,-0.05825508444362247,0.05215126778607765,0.04894582346709629,0.0348041063069487,0.030999704754903473,-0.06163838726337295,-0.04424268944660032,-0.032231705041889845,0.004683595414017497,-0.23253210486195552,1.0,0.15756057928433911,0.1818693604735954,0.15480247527453733,0.11844686206643303,-0.04493136644174106,-0.12606619623189877,-0.09792246776105262,-0.19673398322516564
GenHlth,0.3033004153206846,0.20864042583842862,0.046350733940619615,0.2573418868796152,0.15900870419181096,0.16368491671113095,0.24224327942879634,-0.25624099861270483,-0.10547369890326988,-0.12254015749312969,-0.03522637146668939,-0.04162231152892427,0.15756057928433911,1.0,0.23793996246984764,0.45184657304174597,0.42279064313406345,-0.0035364955838087754,0.14718770139048684,-0.27578267768430953,-0.35425296102363524
MentHlth,0.02049928526481007,0.04406049570948158,-0.013269832805438909,0.05393599347268039,0.06093978416932018,0.04981894465896325,0.03476296703402453,-0.08252575087174066,-0.06415281012556859,-0.042357327981626114,0.03274230267700544,-0.047646264525339176,0.1818693604735954,0.23793996246984764,1.0,0.30805030193647104,0.1882616261582856,-0.11950919673553903,-0.16358029629469864,-0.05391194071565021,-0.14522167368181638
PhysHlth,0.1495504814647678,0.11933085846947777,0.030474766352099964,0.11609615975187919,0.09319652187483209,0.1276814964308463,0.15663009816788886,-0.17949432840918683,-0.04527815403860909,-0.05394285157660825,-0.024762664844724037,-0.008407859177375774,0.15480247527453733,0.45184657304174597,0.30805030193647104,1.0,0.4150223929321536,-0.06763535319914772,0.052003221225012546,-0.11477025398468169,-0.21804022361604322
DiffWalk,0.2236184659045557,0.14467153800763946,0.040585057358639674,0.1795425716389504,0.12246321459352201,0.17656691703377717,0.21270869529037797,-0.25317400747654095,-0.04835167462915143,-0.08050571665377625,-0.03766817420960945,0.007074091815080869,0.11844686206643303,0.42279064313406345,0.1882616261582856,0.4150223929321536,1.0,-0.07029890236186129,0.20112171769331455,-0.18755336923172547,-0.3037112386224007
Sex,0.05220696068728577,0.031205330139888337,-0.02211503557162567,0.08934898069079561,0.09366236142514878,0.0029782884033473346,0.08609550814379131,0.032481685775770035,-0.09117486533234562,-0.06476515609496768,0.005740219246767308,-0.01940546470326061,-0.04493136644174106,-0.0035364955838087754,-0.11950919673553903,-0.06763535319914772,-0.07029890236186129,1.0,-0.024217454798748605,0.02421033426115157,0.12700905663597498
Age,0.3445345740196993,0.26635498319334466,0.09353327223721523,-0.024590705194114885,0.1193039310992439,0.12906026403827237,0.2276386187539575,-0.08804935558196947,0.06693417991910806,-0.011222684505251957,-0.035129930212368946,0.14024279346418445,-0.12606619623189877,0.14718770139048684,-0.16358029629469864,0.052003221225012546,0.20112171769331455,-0.024217454798748605,1.0,-0.1014894064668042,-0.17645660241783043
Education,-0.1419704760859179,-0.06885015912364975,0.0038696713622208834,-0.12327677995311159,-0.17356598843254423,-0.07296954038189525,-0.09591041700092981,0.20024803066726413,0.11492851122865406,0.15463509651089294,0.021252256819077768,0.11485309816249378,-0.09792246776105262,-0.27578267768430953,-0.05391194071565021,-0.11477025398468169,-0.18755336923172547,0.02421033426115157,-0.1014894064668042,1.0,0.4519783973928656
Income,-0.17916132217399397,-0.0879051464150971,0.015263354654095635,-0.09219157173958833,-0.1326633242493897,-0.1237283277287654,-0.1414853394761489,0.2020220487483877,0.07641482388218548,0.14936412694120257,0.05534222527339353,0.15504182169285174,-0.19673398322516564,-0.35425296102363524,-0.14522167368181638,-0.21804022361604322,-0.3037112386224007,0.12700905663597498,-0.17645660241783043,0.4519783973928656,1.0
